alimento,categoria,calorias,proteinas,carbohidratos,grasas,fibra,region,preparacion
Arroz con pollo chocolate sin azucar,Segundo,435,49.8,13.1,29.4,0.2,Asia,Cocido
Lasaña chocolate vegetariano,Segundo,643,24.8,8.9,13.8,3.8,America,Crudo
Pizza margarita vainilla integral,Segundo,376,18.5,15.5,32.1,4.3,Oceania,Frito
Pizza de pepperoni vainilla bajo en grasas,Segundo,643,31.5,16.1,28.7,4.3,Europa,Cocido
Pasta boloñesa manzana alto en fibra,Segundo,377,41.1,23.5,18.9,4.1,Europa,Crudo
Pastel de chocolate coco sin gluten,Postre,679,3.8,61.6,20.4,1.5,America,Asado
Helado de vainilla limon sin azucar,Postre,656,5.3,65.9,16.3,3.6,Africa,Cocido
Tarta de manzana manzana sin azucar,Postre,346,7.1,59.7,28.3,3.3,Oceania,Asado
Flan fresa vegetariano,Postre,674,4.1,74.9,5.7,3.3,Oceania,Crudo
Brownie manzana bajo en grasas,Postre,196,3.3,62.4,23.4,1.3,America,Horno
Mousse de limon limon sin gluten,Postre,562,7.6,53.5,13.3,1.0,Asia,Cocido
Galletas de avena mango vegetariano,Postre,533,4.8,40.2,20.7,4.0,Asia,Crudo
Pan dulce fresa sin gluten,Postre,433,7.7,77.2,25.8,2.3,Africa,Cocido
Churros manzana vegetariano,Postre,274,7.9,61.7,13.0,1.5,Asia,Crudo
Arroz con leche fresa bajo en grasas,Postre,409,2.8,53.8,29.0,4.7,Asia,Crudo
Pastel de zanahoria naranja integral,Postre,419,4.8,70.4,6.5,1.4,Africa,Cocido
Helado de fresa coco vegetariano,Postre,239,4.7,34.3,15.1,4.3,America,Crudo
Tarta de queso fresa bajo en grasas,Postre,212,7.5,64.7,25.2,3.7,Asia,Frito
Panna cotta mango sin gluten,Postre,389,7.6,60.6,10.8,4.0,America,Frito
Crema catalana fresa vegetariano,Postre,300,4.5,63.0,20.3,4.2,Africa,Asado
Galletas de chocolate manzana vegetariano,Postre,267,4.8,67.2,24.1,4.1,Oceania,Horno
Pastel selva negra chocolate sin gluten,Postre,665,5.9,66.8,17.5,2.6,Europa,Frito
Cheesecake de limon manzana sin azucar,Postre,167,6.2,50.3,13.3,3.8,Africa,Cocido
Yogur natural chocolate bajo en grasas,Postre,657,6.5,48.5,6.9,4.8,Europa,Frito
Yogur de frutas manzana sin azucar,Postre,292,4.5,75.6,10.2,4.9,America,Frito
Sopa de verduras mango sin gluten,Primero,476,10.6,35.1,14.4,2.4,Asia,Crudo
Ensalada Cesar fresa vegetariano,Primero,660,15.0,23.1,3.8,5.1,Oceania,Cocido
Crema de calabaza coco bajo en grasas,Primero,350,14.3,36.1,11.0,8.0,Oceania,Crudo
Minestrone naranja sin azucar,Primero,278,13.6,16.3,8.2,5.9,Africa,Frito
Gazpacho vainilla alto en fibra,Primero,350,14.2,37.4,9.6,10.0,Europa,Cocido
Sopa de pollo chocolate sin azucar,Primero,201,12.6,36.0,7.8,5.9,America,Frito
Caldo gallego limon sin gluten,Primero,471,12.7,14.2,5.7,7.8,America,Cocido
Salmorejo chocolate alto en fibra,Primero,378,12.4,20.8,4.4,6.9,America,Crudo
Crema de esparragos coco sin gluten,Primero,647,13.0,10.7,6.4,6.3,Asia,Asado
Consome naranja sin azucar,Primero,504,15.0,12.6,4.5,7.5,America,Frito
Ensalada griega mango bajo en grasas,Primero,533,13.0,13.6,9.2,8.6,Oceania,Frito
Ensalada caprese limon bajo en grasas,Primero,493,8.4,25.6,9.3,8.8,Europa,Horno
Crema de champiñones naranja sin azucar,Primero,507,9.1,10.6,14.9,9.2,Europa,Asado
Vichyssoise manzana integral,Primero,344,9.7,22.8,9.6,6.8,Africa,Horno
Sopa de lentejas manzana integral,Primero,184,7.8,22.5,11.9,7.9,Africa,Cocido
Ensalada rusa limon sin azucar,Primero,404,7.5,24.0,8.9,8.3,Europa,Crudo
Crema de zanahoria naranja integral,Primero,548,11.0,39.6,4.5,4.5,Europa,Horno
Ensalada de quinoa limon alto en fibra,Primero,240,5.3,28.6,3.1,6.4,Oceania,Frito
Ensalada de pasta vainilla integral,Primero,687,6.5,27.9,7.7,6.7,America,Crudo
Sopa miso limon vegetariano,Primero,398,11.6,23.0,5.3,3.6,Oceania,Asado
Pollo asado limon vegetariano,Segundo,259,23.2,21.6,36.2,3.6,Africa,Crudo
Salmon al horno mango integral,Segundo,498,34.0,20.2,23.4,3.2,America,Cocido
Chuletas de cerdo limon alto en fibra,Segundo,665,23.7,28.9,35.6,1.6,Asia,Frito
Lomo de res manzana alto en fibra,Segundo,282,47.6,25.8,32.2,2.8,Asia,Frito
Pescado frito fresa sin azucar,Segundo,589,47.1,18.1,31.0,3.3,Asia,Cocido
Estofado de ternera coco vegetariano,Segundo,551,34.3,23.8,28.8,4.2,Oceania,Frito
Paella naranja vegetariano,Segundo,494,29.9,24.0,35.1,1.8,America,Horno
Fajitas de pollo chocolate sin gluten,Segundo,196,45.9,11.3,26.1,5.0,Europa,Horno
Tacos de pescado naranja vegetariano,Segundo,564,26.3,29.9,12.0,4.3,Africa,Frito
Hamburguesa casera limon integral,Segundo,291,45.1,14.5,34.3,3.1,Europa,Frito
Curry de pollo fresa sin azucar,Segundo,380,22.1,26.5,35.4,0.8,Oceania,Crudo
Pollo al curry coco alto en fibra,Segundo,380,27.8,23.3,29.7,0.6,America,Crudo
Filete de pescado naranja bajo en grasas,Segundo,430,35.6,17.0,19.2,4.4,Africa,Horno
Carne guisada mango alto en fibra,Segundo,334,23.6,12.1,35.9,3.1,Africa,Asado
Costillas de cerdo naranja integral,Segundo,594,16.2,26.1,19.5,4.9,Oceania,Asado
Arroz con pollo naranja alto en fibra,Segundo,587,33.3,7.7,12.7,3.9,Europa,Frito
Lasaña manzana sin azucar,Segundo,203,18.1,10.0,22.9,1.0,Oceania,Cocido
Pizza margarita mango integral,Segundo,184,48.7,7.6,20.6,0.9,Asia,Frito
Pizza de pepperoni mango integral,Segundo,566,31.4,15.7,21.0,2.3,America,Cocido
Pasta boloñesa mango integral,Segundo,507,30.6,8.9,19.1,3.5,Africa,Frito
Pastel de chocolate limon sin gluten,Postre,396,7.1,46.7,26.3,4.0,America,Crudo
Helado de vainilla limon bajo en grasas,Postre,243,6.4,50.6,18.4,3.5,Oceania,Cocido
Tarta de manzana chocolate sin gluten,Postre,538,6.2,69.7,25.9,2.8,Africa,Horno
Flan chocolate integral,Postre,413,6.4,56.1,24.3,4.1,Africa,Horno
Brownie naranja integral,Postre,652,6.2,59.6,22.0,3.6,Oceania,Cocido
Mousse de limon mango integral,Postre,658,5.6,61.4,27.7,4.2,Asia,Crudo
Galletas de avena mango alto en fibra,Postre,652,4.4,78.5,18.7,4.8,America,Horno
Pan dulce manzana sin gluten,Postre,399,5.4,66.3,5.7,3.3,Africa,Crudo
Churros vainilla sin azucar,Postre,401,7.7,31.2,18.3,4.1,America,Asado
Arroz con leche limon vegetariano,Postre,331,7.6,68.6,21.4,4.3,Africa,Crudo
Pastel de zanahoria naranja sin gluten,Postre,211,5.3,60.7,6.8,1.0,Oceania,Cocido
Helado de fresa fresa vegetariano,Postre,615,4.9,39.1,18.8,1.3,Africa,Asado
Tarta de queso vainilla vegetariano,Postre,198,4.0,70.2,26.2,4.9,America,Cocido
Panna cotta naranja integral,Postre,678,4.0,40.9,11.4,1.4,America,Horno
Crema catalana mango sin azucar,Postre,611,7.5,54.2,25.4,2.2,Africa,Asado
Galletas de chocolate chocolate integral,Postre,472,3.7,77.1,9.9,4.7,Oceania,Frito
Pastel selva negra mango sin azucar,Postre,241,5.0,37.8,7.6,1.1,Asia,Frito
Cheesecake de limon fresa sin gluten,Postre,304,4.5,39.4,10.3,4.5,Asia,Cocido
Yogur natural coco bajo en grasas,Postre,533,6.7,76.5,8.7,1.4,Africa,Horno
Yogur de frutas limon bajo en grasas,Postre,272,3.0,58.7,7.4,1.7,Oceania,Crudo
Sopa de verduras fresa integral,Primero,237,11.5,32.6,12.2,7.1,Oceania,Horno
Ensalada Cesar naranja vegetariano,Primero,561,8.2,34.4,7.9,9.5,Africa,Cocido
Crema de calabaza chocolate sin gluten,Primero,175,13.0,24.0,10.9,8.2,Africa,Cocido
Minestrone mango bajo en grasas,Primero,225,9.0,18.7,5.3,3.9,Asia,Crudo
Gazpacho fresa alto en fibra,Primero,199,11.3,17.5,4.7,5.7,Europa,Asado
Sopa de pollo coco alto en fibra,Primero,425,9.5,18.5,2.2,9.6,America,Horno
Caldo gallego manzana vegetariano,Primero,308,9.7,35.3,14.2,5.6,Asia,Horno
Salmorejo coco bajo en grasas,Primero,205,14.9,35.9,13.5,7.8,America,Cocido
Crema de esparragos chocolate integral,Primero,236,11.4,22.6,14.8,3.2,Asia,Horno
Consome chocolate integral,Primero,279,6.4,13.0,6.7,8.8,Europa,Cocido
Ensalada griega chocolate integral,Primero,627,10.1,19.2,6.4,8.9,Asia,Horno
Ensalada caprese chocolate vegetariano,Primero,638,14.1,35.4,10.2,8.3,Europa,Frito
Crema de champiñones mango sin gluten,Primero,493,10.9,23.8,4.8,4.0,America,Cocido
Vichyssoise mango integral,Primero,158,12.4,16.8,6.7,5.2,America,Cocido
Sopa de lentejas naranja alto en fibra,Primero,488,9.6,13.1,13.0,7.4,Africa,Frito
Ensalada rusa fresa alto en fibra,Primero,281,8.3,27.9,2.8,6.7,America,Crudo
Crema de zanahoria vainilla integral,Primero,466,8.1,11.4,5.1,3.3,Africa,Crudo
Ensalada de quinoa coco alto en fibra,Primero,424,10.8,11.2,5.4,9.5,America,Horno
Ensalada de pasta naranja sin azucar,Primero,678,9.9,23.8,3.0,8.3,America,Asado
Sopa miso vainilla integral,Primero,199,7.8,29.0,6.8,4.0,Europa,Crudo
